1700759212.463,1.4,1210
1700759212.642,1.4,1370
1700759212.791,1.4,1340
1700759212.946,1.4,1320
1700759213.116,1.3,1310
1700759213.283,1.0,1290
1700759213.429,0.1,1300
1700759213.573,-1.0,1310
1700759213.718,-0.7,1420
1700759213.883,2.1,1620
1700759214.027,1.9,1930
1700759214.173,2.0,2100
1700759214.328,2.8,2110
1700759214.475,2.8,2140
1700759214.625,2.9,2070
1700759214.769,2.7,1940
1700759214.922,2.4,2120
1700759215.067,-2.9,2140
1700759215.21,-8.4,2410
1700759215.356,-11.4,2690
1700759215.503,-15.9,2810
1700759215.648,-18.3,3020
1700759215.796,-18.3,3240
1700759215.941,-19.0,2880
1700759216.095,-20.7,2810
1700759216.264,-20.8,2620
1700759216.412,-19.7,3150
1700759216.556,-18.6,3360
1700759216.703,-19.4,3540
1700759216.863,-19.3,3580
1700759217.01,-19.2,3770
1700759217.156,-20.0,3800
1700759217.303,-19.3,3940
1700759217.47,-13.2,3900
1700759217.615,-9.7,4030
1700759217.761,-6.5,3740
1700759217.908,-2.4,3650
1700759218.074,0.5,3770
1700759218.22,0.5,3750
1700759218.371,3.0,3360
1700759218.518,7.3,3310
1700759218.688,11.8,3370
1700759218.851,16.1,3400
1700759218.996,19.4,3540
1700759219.142,20.9,3560
1700759219.319,21.4,3570
1700759219.475,22.5,3270
1700759219.618,22.0,2740
1700759219.763,22.0,2700
1700759219.907,22.0,2730
1700759220.072,22.0,2810
1700759220.236,21.9,2830
1700759220.382,21.9,2890
1700759220.528,21.6,2880
1700759220.7,19.7,2740
1700759220.842,12.8,2400
1700759220.986,7.8,2220
1700759221.128,3.0,2180
1700759221.283,0.2,1980
1700759221.427,-0.2,1900
1700759221.572,-0.4,1900
1700759221.718,-0.4,1910
1700759221.867,-0.7,1850
1700759222.013,-2.8,1480
1700759222.155,-2.4,1360
1700759222.298,-2.3,1290
1700759222.444,-2.3,1260
1700759222.586,-1.4,1300
1700759222.728,-0.8,1290
1700759222.874,-0.7,1300
1700759223.037,-0.6,1270
1700759223.177,-2.2,1080
1700759223.321,-3.1,660
1700759223.467,-0.6,590
1700759223.617,-1.3,540
1700759223.765,-0.6,540
